rank,year,airport,code,location,country,total_passengers,address,latitude,longitude,lat_lng
36,2014,London Gatwick Airport,LGW/EGKK,"Crawley, West Sussex",United Kingdom,38105747,"Gatwick Airport (LGW), Horley, Gatwick RH6 0NP, UK",51.1536621,-0.1820629,"[51.1536621, -0.1820629]"
37,2014,Shanghai Hongqiao International Airport,SHA/ZSSS,"Changning-Minhang, Shanghai",China,37971135,"Shanghai Hongqiao International Airport, 2550 Hongqiao Rd, Changning, China",31.192209,121.334297,"[31.192209, 121.334297]"
38,2014,Chengdu Shuangliu International Airport,CTU/ZUUU,"Shuangliu-Wuhou, Chengdu, Sichuan",China,37712357,"Chengdu Shuangliu International Airport (CTU), Shuangliu, Chengdu Shi, Sichuan Sheng, China",30.567456,103.9492936,"[30.567456, 103.9492936]"
39,2014,Barcelona El Prat Airport,BCN/LEBL,Barcelona,Spain,37540326,"Josep Tarradellas Barcelona-El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain",41.297445,2.0832941,"[41.297445, 2.0832941]"
40,2014,Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States,37497941,"Seattle-Tacoma International Airport (SEA), 17801 International Blvd, Seattle, WA 98158, USA",47.4502499,-122.3088165,"[47.4502499, -122.3088165]"
41,2014,Shenzhen Bao'an International Airport,SZX/ZGSZ,"Bao'an, Shenzhen, Guangdong",China,36272701,"Shenzhen Bao'an International Airport, Baoan Qu, Shenzhen Shi, Guangdong Sheng, China",22.636828,113.814606,"[22.636828, 113.814606]"
42,2014,Taiwan Taoyuan International Airport,TPE/RCTP,"Dayuan, Taoyuan",Taiwan,35804465,"Taiwan Taoyuan International Airport (TPE), No. 9, Hangzhan S Rd, Dayuan District, Taoyuan City, Taiwan 33758",25.0796514,121.234217,"[25.0796514, 121.234217]"
43,2014,Orlando International Airport,MCO/KMCO,"Orlando, Florida",United States,35714091,"Orlando International Airport (MCO), 1 Jeff Fuqua Blvd, Orlando, FL 32827, USA",28.4311577,-81.308083,"[28.4311577, -81.308083]"
44,2014,Newark Liberty International Airport,EWR/KEWR,"Newark, New Jersey",United States,35610759,"Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",40.6895314,-74.1744624,"[40.6895314, -74.1744624]"
45,2014,Narita International Airport,NRT/RJAA,"Narita, Chiba",Japan,35535206,"Narita International Airport (NRT), 1-1 Furugome, Narita, Chiba 282-0004, Japan",35.7719867,140.3928501,"[35.7719867, 140.3928501]"
46,2014,Minneapolis/St Paul International Airport,MSP/KMSP,"St. Paul, Minnesota",United States,35147083,"Minneapolis−Saint Paul International Airport (MSP), Minnesota, USA",44.8847554,-93.2222846,"[44.8847554, -93.2222846]"
47,2014,Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra",India,34993738,"Chhatrapati Shivaji International Airport (BOM), Mumbai, Maharashtra 400099, India",19.0895595,72.8656144,"[19.0895595, 72.8656144]"
48,2014,Benito Ju rez International Airport,MEX/MMMX,"Venustiano Carranza, Mexico City",Mexico,34255739,"Mexico City International Airport (MEX), Av Capitan Carlos León S/N, Peñón de los Baños, Venustiano Carranza, 15620 Ciudad de México, CDMX, Mexico",19.4360762,-99.07190829999999,"[19.4360762, -99.07190829999999]"
49,2014,Ninoy Aquino International Airport,MNL/RPLL,"Pasay/Parañaque, Metro Manila",Philippines,34015169,"Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines",14.5122739,121.016508,"[14.5122739, 121.016508]"
50,2014,Domodedovo International Airport,DME/UUDD,"Domodedovo, Moscow Oblast",Russia,33108047,"Domodedovo Moscow Airport (DME), Moskovskaya oblast', Russia",55.41030689999999,37.9024513,"[55.41030689999999, 37.9024513]"
