rank,year,airport,code,location,country,total_passengers,address,latitude,longitude,lat_lng
18,2016,Denver International Airport,DEN/KDEN,"Denver, Colorado",United States,58266515,"Denver International Airport (DEN), 8500 Peña Blvd, Denver, CO 80249, USA",39.8560963,-104.6737376,"[39.8560963, -104.6737376]"
19,2016,Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea,57849814,"Incheon International Airport (ICN), 272 Gonghang-ro, Jung-gu, Incheon, South Korea",37.4601908,126.4406957,"[37.4601908, 126.4406957]"
20,2016,Suvarnabhumi Airport,BKK/VTBS,"Bang Phli, Samut Prakan",Thailand,55892428,"Suvarnabhumi Airport (BKK), 999 Soi Mu Ban Nakhon Thong 1, Nong Prue, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand",13.6899991,100.7501124,"[13.6899991, 100.7501124]"
21,2016,Indira Gandhi International Airport,DEL/VIDP,Delhi,India,55631385,"Indira Gandhi International Airport (DEL), New Delhi, Delhi 110037, India",28.5561624,77.0999578,"[28.5561624, 77.0999578]"
22,2016,Soekarno Hatta International Airport,CGK/WIII,"Benda, Tangerang, Banten",Indonesia,54969536,"Soekarno-Hatta International Airport (CGK), Kota Tangerang, Banten 19120, Indonesia",-6.1275282,106.6537058,"[-6.1275282, 106.6537058]"
23,2016,San Francisco International Airport,SFO/KSFO,"San Mateo County, California",United States,53099282,"San Francisco International Airport (SFO), San Francisco, CA 94128, USA",37.6213129,-122.3789554,"[37.6213129, -122.3789554]"
24,2016,Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia,52640043,"Kuala Lumpur Int'l Airport (KUL), 64000 Sepang, Selangor, Malaysia",2.7455962,101.7071602,"[2.7455962, 101.7071602]"
25,2016,Madrid Barajas Airport,MAD/LEMD,"Barajas, Madrid",Spain,50397928,"Madrid-Barajas Adolfo Suárez Airport (MAD), Av de la Hispanidad, s/n, 28042 Madrid, Spain",40.4983322,-3.5675982,"[40.4983322, -3.5675982]"
26,2016,McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada",United States,47496614,"McCarran International Airport (LAS), 5757 Wayne Newton Blvd, Las Vegas, NV 89119, USA",36.0839998,-115.1537389,"[36.0839998, -115.1537389]"
27,2016,Chengdu Shuangliu International Airport,CTU/ZUUU,"Shuangliu-Wuhou, Chengdu, Sichuan",China,46039137,"Chengdu Shuangliu International Airport (CTU), Shuangliu, Chengdu Shi, Sichuan Sheng, China",30.567456,103.9492936,"[30.567456, 103.9492936]"
28,2016,Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States,45736700,"Seattle-Tacoma International Airport (SEA), 17801 International Blvd, Seattle, WA 98158, USA",47.4502499,-122.3088165,"[47.4502499, -122.3088165]"
29,2016,Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra",India,44680555,"Chhatrapati Shivaji International Airport (BOM), Mumbai, Maharashtra 400099, India",19.0895595,72.8656144,"[19.0895595, 72.8656144]"
30,2016,Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States,44584603,"Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",25.7958723,-80.2870509,"[25.7958723, -80.2870509]"
31,2016,Charlotte Douglas International Airport,CLT/KCLT,"Charlotte, North Carolina",United States,44422022,"Charlotte Douglas International Airport (CLT), 5501 Josh Birmingham Pkwy, Charlotte, NC 28208, USA",35.2144026,-80.9473146,"[35.2144026, -80.9473146]"
32,2016,Toronto Pearson International Airport,YYZ/CYYZ,"Mississauga, Ontario",Canada,44335198,"Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada",43.67771760000001,-79.6248197,"[43.67771760000001, -79.6248197]"
33,2016,Barcelona El Prat Airport,BCN/LEBL,"El Prat, Catalonia",Spain,44131031,"Josep Tarradellas Barcelona-El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain",41.297445,2.0832941,"[41.297445, 2.0832941]"
34,2016,Phoenix Sky Harbor International Airport,PHX/KPHX,"Phoenix, Arizona",United States,43302381,"Phoenix Sky Harbor International Airport (PHX), 3400 E Sky Harbor Blvd, Phoenix, AZ 85034, USA",33.4372686,-112.0077881,"[33.4372686, -112.0077881]"
35,2016,Gatwick Airport,LGW/EGKK,"Crawley, West Sussex",United Kingdom,43136795,"Gatwick Airport (LGW), Horley, Gatwick RH6 0NP, UK",51.1536621,-0.1820629,"[51.1536621, -0.1820629]"
36,2016,Taiwan Taoyuan International Airport,TPE/RCTP,"Dayuan, Taoyuan",Taiwan,42296322,"Taiwan Taoyuan International Airport (TPE), No. 9, Hangzhan S Rd, Dayuan District, Taoyuan City, Taiwan 33758",25.0796514,121.234217,"[25.0796514, 121.234217]"
37,2016,Munich Airport,MUC/EDDM,"Freising, Bavaria",Germany,42261309,"Munich International Airport (MUC), Nordallee 25, 85356 München, Germany",48.3536621,11.7750279,"[48.3536621, 11.7750279]"
38,2016,Sydney Kingsford-Smith Airport,SYD/YSSY,"Mascot, Sydney, New South Wales",Australia,41985810,"Sydney Airport (SYD), Sydney NSW 2020, Australia",-33.9399228,151.1752764,"[-33.9399228, 151.1752764]"
39,2016,Kunming Changshui International Airport,KMG/ZPPP,"Guandu, Kunming, Yunnan",China,41980515,"China, Kunming Shi, Guandu Qu, 长水国际机场",25.093927,102.930489,"[25.093927, 102.930489]"
40,2016,Shenzhen Bao'an International Airport,SZX/ZGSZ,"Bao'an, Shenzhen, Guangdong",China,41975090,"Shenzhen Bao'an International Airport, Baoan Qu, Shenzhen Shi, Guangdong Sheng, China",22.636828,113.814606,"[22.636828, 113.814606]"
41,2016,Orlando International Airport,MCO/KMCO,"Orlando, Florida",United States,41923399,"Orlando International Airport (MCO), 1 Jeff Fuqua Blvd, Orlando, FL 32827, USA",28.4311577,-81.308083,"[28.4311577, -81.308083]"
42,2016,Leonardo da Vinci Fiumicino Airport,FCO/LIRF,"Fiumicino, Lazio",Italy,41738662,"Leonardo da Vinci International Airport (FCO), Via dell' Aeroporto di Fiumicino, 00054 Fiumicino RM, Italy",41.7998868,12.2462384,"[41.7998868, 12.2462384]"
43,2016,George Bush Intercontinental Airport,IAH/KIAH,"Houston, Texas",United States,41622594,"George Bush Intercontinental Airport (IAH), 2800 N Terminal Rd, Houston, TX 77032, USA",29.9902199,-95.3367827,"[29.9902199, -95.3367827]"
44,2016,Benito Ju rez International Airport,MEX/MMMX,"Venustiano Carranza, Mexico City",Mexico,41410254,"Mexico City International Airport (MEX), Av Capitan Carlos León S/N, Peñón de los Baños, Venustiano Carranza, 15620 Ciudad de México, CDMX, Mexico",19.4360762,-99.07190829999999,"[19.4360762, -99.07190829999999]"
45,2016,Shanghai Hongqiao International Airport,SHA/ZSSS,"Changning-Minhang, Shanghai",China,40460135,"Shanghai Hongqiao International Airport, 2550 Hongqiao Rd, Changning, China",31.192209,121.334297,"[31.192209, 121.334297]"
46,2016,Newark Liberty International Airport,EWR/KEWR,"Newark, New Jersey",United States,40289969,"Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",40.6895314,-74.1744624,"[40.6895314, -74.1744624]"
47,2016,Ninoy Aquino International Airport,MNL/RPLL,"Pasay/Parañaque, Metro Manila",Philippines,39534991,"Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines",14.5122739,121.016508,"[14.5122739, 121.016508]"
48,2016,Narita International Airport,NRT/RJAA,"Narita, Chiba",Japan,39000563,"Narita International Airport (NRT), 1-1 Furugome, Narita, Chiba 282-0004, Japan",35.7719867,140.3928501,"[35.7719867, 140.3928501]"
49,2016,Minneapolis/St Paul International Airport,MSP/KMSP,"St. Paul, Minnesota",United States,37413728,"Minneapolis−Saint Paul International Airport (MSP), Minnesota, USA",44.8847554,-93.2222846,"[44.8847554, -93.2222846]"
50,2016,Hamad International Airport,DOH/OTHH,Doha,Qatar,37283987,"Hamad International Airport, Doha, Qatar",25.2608759,51.61384169999999,"[25.2608759, 51.61384169999999]"
