rank,year,airport,code (iata/icao),location,country,total passengers,address,latitude,longitude,lat lng
27,2013,Phoenix Sky Harbor International Airport,PHX/KPHX,"Phoenix, Arizona",United States,40318451,"Phoenix Sky Harbor International Airport (PHX), 3400 E Sky Harbor Blvd, Phoenix, AZ 85034, USA",33.4372686,-112.0077881,"[33.4372686, -112.0077881]"
28,2013,George Bush Intercontinental Airport,IAH/KIAH,"Houston, Texas",United States,39865325,"George Bush Intercontinental Airport (IAH), 2800 N Terminal Rd, Houston, TX 77032, USA",29.9902199,-95.3367827,"[29.9902199, -95.3367827]"
29,2013,Madrid Barajas Airport,MAD/LEMD,"Barajas, Madrid",Spain,39729027,"Madrid-Barajas Adolfo Suárez Airport (MAD), Av de la Hispanidad, s/n, 28042 Madrid, Spain",40.4983322,-3.5675982,"[40.4983322, -3.5675982]"
30,2013,Munich Airport,MUC/EDDM,"Freising, Bavaria",Germany,38672644,"Munich International Airport (MUC), Nordallee 25, 85356 München, Germany",48.3536621,11.7750279,"[48.3536621, 11.7750279]"
31,2013,Sydney Kingsford-Smith Airport,SYD/YSSY,"Sydney, New South Wales",Australia,38254039,"Sydney Airport (SYD), Sydney NSW 2020, Australia",-33.9399228,151.1752764,"[-33.9399228, 151.1752764]"
32,2013,Indira Gandhi International Airport,DEL/VIDP,Delhi,India,36712455,"Indira Gandhi International Airport (DEL), New Delhi, Delhi 110037, India",28.5561624,77.0999578,"[28.5561624, 77.0999578]"
33,2013,S o Paulo-Guarulhos International Airport,GRU/SBGR,"Guarulhos, São Paulo",Brazil,36460923,"Sao Paulo International Airport (GRU) - Rod. Hélio Smidt, s/nº - Aeroporto, Guarulhos - SP, 07190-100, Brazil",-23.4305731,-46.473043,"[-23.4305731, -46.473043]"
34,2013,Leonardo da Vinci Fiumicino Airport,FCO/LIRF,"Fiumicino, Lazio",Italy,36165762,"Leonardo da Vinci International Airport (FCO), Via dell' Aeroporto di Fiumicino, 00054 Fiumicino RM, Italy",41.7998868,12.2462384,"[41.7998868, 12.2462384]"
35,2013,Toronto Pearson International Airport,YYZ/CYYZ,"Mississauga, Ontario",Canada,36037962,"Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada",43.67771760000001,-79.6248197,"[43.67771760000001, -79.6248197]"
36,2013,Shanghai Hongqiao International Airport,SHA/ZSSS,"Changning-Minhang, Shanghai",China,35599643,"Shanghai Hongqiao International Airport, 2550 Hongqiao Rd, Changning, China",31.192209,121.334297,"[31.192209, 121.334297]"
37,2013,London Gatwick Airport,LGW/EGKK,"Crawley, West Sussex",United Kingdom,35448590,"Gatwick Airport (LGW), Horley, Gatwick RH6 0NP, UK",51.1536621,-0.1820629,"[51.1536621, -0.1820629]"
38,2013,Narita International Airport,NRT/RJAA,"Narita, Chiba",Japan,35341341,"Narita International Airport (NRT), 1-1 Furugome, Narita, Chiba 282-0004, Japan",35.7719867,140.3928501,"[35.7719867, 140.3928501]"
39,2013,Barcelona El Prat Airport,BCN/LEBL,Barcelona,Spain,35210735,"Josep Tarradellas Barcelona-El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain",41.297445,2.0832941,"[41.297445, 2.0832941]"
40,2013,Newark Liberty International Airport,EWR/KEWR,"Newark, New Jersey",United States,35016236,"Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",40.6895314,-74.1744624,"[40.6895314, -74.1744624]"
41,2013,Orlando International Airport,MCO/KMCO,"Orlando, Florida",United States,34973645,"Orlando International Airport (MCO), 1 Jeff Fuqua Blvd, Orlando, FL 32827, USA",28.4311577,-81.308083,"[28.4311577, -81.308083]"
42,2013,Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States,34824281,"Seattle-Tacoma International Airport (SEA), 17801 International Blvd, Seattle, WA 98158, USA",47.4502499,-122.3088165,"[47.4502499, -122.3088165]"
43,2013,Minneapolis/St Paul International Airport,MSP/KMSP,"St. Paul, Minnesota",United States,33870693,"Minneapolis−Saint Paul International Airport (MSP), Minnesota, USA",44.8847554,-93.2222846,"[44.8847554, -93.2222846]"
44,2013,Chengdu Shuangliu International Airport,CTU/ZUUU,"Shuangliu-Wuhou, Chengdu, Sichuan",China,33445817,"Chengdu Shuangliu International Airport (CTU), Shuangliu, Chengdu Shi, Sichuan Sheng, China",30.567456,103.9492936,"[30.567456, 103.9492936]"
45,2013,Ninoy Aquino International Airport,MNL/RPLL,"Pasay/Parañaque, Metro Manila",Philippines,32856597,"Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines",14.5122739,121.016508,"[14.5122739, 121.016508]"
46,2013,Detroit Metropolitan Wayne County Airport,DTW/KDTW,"Detroit, Michigan",United States,32389544,"Detroit Metropolitan Wayne County Airport (DTW), Detroit, MI 48242, USA",42.2161722,-83.3553842,"[42.2161722, -83.3553842]"
47,2013,Shenzhen Bao'an International Airport,SZX/ZGSZ,"Bao'an, Shenzhen, Guangdong",China,32268457,"Shenzhen Bao'an International Airport, Baoan Qu, Shenzhen Shi, Guangdong Sheng, China",22.636828,113.814606,"[22.636828, 113.814606]"
48,2013,Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra",India,31940026,"Chhatrapati Shivaji International Airport (BOM), Mumbai, Maharashtra 400099, India",19.0895595,72.8656144,"[19.0895595, 72.8656144]"
49,2013,Benito Ju rez International Airport,MEX/MMMX,"Venustiano Carranza, Mexico City",Mexico,31534638,"Mexico City International Airport (MEX), Av Capitan Carlos León S/N, Peñón de los Baños, Venustiano Carranza, 15620 Ciudad de México, CDMX, Mexico",19.4360762,-99.07190829999999,"[19.4360762, -99.07190829999999]"
50,2013,Domodedovo International Airport,DME/UUDD,"Domodedovo, Moscow Oblast",Russia,30765078,"Domodedovo Moscow Airport (DME), Moskovskaya oblast', Russia",55.41030689999999,37.9024513,"[55.41030689999999, 37.9024513]"
