rank,year,airport,code (iata/icao),location,country,total passengers,address,latitude,longitude,lat lng
29,2011,Leonardo da Vinci-Fiumicino Airport,FCO/LIRF,"Fiumicino, Rome",Italy,37651222,"Leonardo da Vinci International Airport (FCO), Via dell' Aeroporto di Fiumicino, 00054 Fiumicino RM, Italy",41.7998868,12.2462384,"[41.7998868, 12.2462384]"
30,2011,Atat rk International Airport,IST/LTBA,Istanbul,Turkey,37406025,not found,not found,not found,"['not found', 'not found']"
31,2011,Sydney Airport,SYD/YSSY,"Sydney, New South Wales",Australia,36022614,"Sydney Airport (SYD), Sydney NSW 2020, Australia",-33.9399228,151.1752764,"[-33.9399228, 151.1752764]"
32,2011,Orlando International Airport,MCO/KMCO,"Orlando, Florida",United States,35356991,"Orlando International Airport (MCO), 1 Jeff Fuqua Blvd, Orlando, FL 32827, USA",28.4311577,-81.308083,"[28.4311577, -81.308083]"
33,2011,Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea,35191825,"Incheon International Airport (ICN), 272 Gonghang-ro, Jung-gu, Incheon, South Korea",37.4601908,126.4406957,"[37.4601908, 126.4406957]"
34,2011,Indira Gandhi International Airport,DEL/VIDP,Delhi,India,34729467,"Indira Gandhi International Airport (DEL), New Delhi, Delhi 110037, India",28.5561624,77.0999578,"[28.5561624, 77.0999578]"
35,2011,Barcelona Airport,BCN/LEBL,"Barcelona, Catalonia",Spain,34387597,"Josep Tarradellas Barcelona-El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain",41.297445,2.0832941,"[41.297445, 2.0832941]"
36,2011,London Gatwick Airport,LGW/EGKK,"Crawley, West Sussex, England",United Kingdom,33668048,"Gatwick Airport (LGW), Horley, Gatwick RH6 0NP, UK",51.1536621,-0.1820629,"[51.1536621, -0.1820629]"
37,2011,Newark Liberty International Airport,EWR/KEWR,"Newark, New Jersey",United States,33577154,"Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",40.6895314,-74.1744624,"[40.6895314, -74.1744624]"
38,2011,Toronto Pearson International Airport,YYZ/CYYZ,"Mississauga, Ontario",Canada,33434199,"Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada",43.67771760000001,-79.6248197,"[43.67771760000001, -79.6248197]"
39,2011,Shanghai Hongqiao International Airport,SHA/ZSSS,"Changning-Minhang, Shanghai",China,33112442,"Shanghai Hongqiao International Airport, 2550 Hongqiao Rd, Changning, China",31.192209,121.334297,"[31.192209, 121.334297]"
40,2011,Minneapolis-Saint Paul International Airport,MSP/KMSP,"Fort Snelling, Minnesota",United States,33074443,"Minneapolis−Saint Paul International Airport (MSP), Minnesota, USA",44.8847554,-93.2222846,"[44.8847554, -93.2222846]"
41,2011,Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States,32820060,"Seattle-Tacoma International Airport (SEA), 17801 International Blvd, Seattle, WA 98158, USA",47.4502499,-122.3088165,"[47.4502499, -122.3088165]"
42,2011,Detroit Metropolitan Wayne County Airport,DTW/KDTW,"Detroit, Michigan",United States,32419181,"Detroit Metropolitan Wayne County Airport (DTW), Detroit, MI 48242, USA",42.2161722,-83.3553842,"[42.2161722, -83.3553842]"
43,2011,Philadelphia International Airport,PHL/KPHI,"Philadelphia, Pennsylvania",United States,30839130,"Philadelphia International Airport (PHL), 8000 Essington Ave, Philadelphia, PA 19153, USA",39.8743959,-75.2424229,"[39.8743959, -75.2424229]"
44,2011,Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra",India,30439122,"Chhatrapati Shivaji International Airport (BOM), Mumbai, Maharashtra 400099, India",19.0895595,72.8656144,"[19.0895595, 72.8656144]"
45,2011,S o Paulo-Guarulhos International Airport,GRU/SBGR,"Guarulhos, São Paulo",Brazil,30371131,"Sao Paulo International Airport (GRU) - Rod. Hélio Smidt, s/nº - Aeroporto, Guarulhos - SP, 07190-100, Brazil",-23.4305731,-46.473043,"[-23.4305731, -46.473043]"
46,2011,Ninoy Aquino International Airport,MNL/RPLL,"Pasay/Parañaque, Metro Manila",Philippines,29551394,"Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines",14.5122739,121.016508,"[14.5122739, 121.016508]"
47,2011,Chengdu Shuangliu International Airport,CTU/ZUUU,"Shuangliu-Wuhou, Chengdu, Sichuan",China,29073990,"Chengdu Shuangliu International Airport (CTU), Shuangliu, Chengdu Shi, Sichuan Sheng, China",30.567456,103.9492936,"[30.567456, 103.9492936]"
48,2011,Logan International Airport,BOS/KBOS,"Boston, Massachusetts",United States,28866313,"Boston Logan International Airport (BOS), 1 Harborside Dr, Boston, MA 02128, USA",42.3656132,-71.0095602,"[42.3656132, -71.0095602]"
49,2011,Shenzhen Bao'an International Airport,SZX/ZGSZ,"Bao'an, Shenzhen, Guangdong",China,28245745,"Shenzhen Bao'an International Airport, Baoan Qu, Shenzhen Shi, Guangdong Sheng, China",22.636828,113.814606,"[22.636828, 113.814606]"
50,2011,Melbourne Airport,MEL/YMML,"Melbourne, Victoria",Australia,28060111,"Orlando Melbourne International Airport (MLB), 1 Air Terminal Pkwy, Melbourne, FL 32901, USA",28.1012659,-80.645078,"[28.1012659, -80.645078]"
