airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website
3075,Tejgaon Airport,Dhaka,Bangladesh,\N,VGTJ,23.77879905700684,90.38269805908205,24,6.0,U,Asia/Dhaka,airport,OurAirports,Tejgaon Airport (VGTJ),ChIJuyrea1rHVTcRird6yVZsMQ0,"Tejgaon Airport (VGTJ), Near sangsad bavan, Bir Uttam Ziaur Rahman Rd, Dhaka 1206, Bangladesh",3.9,57,http://www.baf.mil.bd/
3076,Hazrat Shahjalal International Airport,Dhaka,Bangladesh,DAC,VGZR,23.843347,90.397783,30,6.0,U,Asia/Dhaka,airport,OurAirports,Hazrat Shahjalal International Airport,ChIJvY9HupHGVTcR7BXrcRP3s9E,"Hazrat Shahjalal International Airport (DAC), Airport - Dakshinkhan Rd, Dhaka 1229, Bangladesh",3.9,5463,http://caab.portal.gov.bd/site/page/84445552-28c3-420b-b1a0-ada0566e3bfa
3077,Hong Kong International Airport,Hong Kong,Hong Kong,HKG,VHHH,22.308901,113.915001,28,8.0,U,Asia/Hong_Kong,airport,OurAirports,Hong Kong International Airport,ChIJncZGzPPiAzQRnjaSGIKQ9fk,"Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",4.4,7847,http://www.hongkongairport.com/
3078,Shek Kong Air Base,Sek Kong,Hong Kong,\N,VHSK,22.436599731445312,114.08000183105469,50,8.0,U,Asia/Hong_Kong,airport,OurAirports,Shek Kong Airfield,ChIJL68ynWD3AzQRSwSxI9D0mXA,"Shek Kong Airfield, 號, 183 Kam Tin Rd, Hong Kong",4.3,7,not found
3079,Agra Airport,Agra,India,AGR,VIAG,27.155799865722656,77.96089935302734,551,5.5,N,Asia/Calcutta,airport,OurAirports,Pandit Deen Dayal Upadhyay Airport,ChIJb98Sa_p2dDkRAgI8cr1jk0o,"Pandit Deen Dayal Upadhyay Airport, 59/10, VIP Road, Agra, Uttar Pradesh 282001, India",3.8,277,not found
3080,Allahabad Airport,Allahabad,India,IXD,VIAL,25.440099716186523,81.73390197753906,322,5.5,N,Asia/Calcutta,airport,OurAirports,Allahabad Airport New Terminal,ChIJn61AKtbMmjkR0rHknVXX4Xc,"Allahabad Airport New Terminal, ITBP Rd, Bamrauli, Prayagraj, Uttar Pradesh 211012, India",4,577,not found
3081,Sri Guru Ram Dass Jee International Airport,Amritsar,India,ATQ,VIAR,31.7096004486,74.7973022461,756,5.5,N,Asia/Calcutta,airport,OurAirports,"Sri Guru Ram Dass Jee International Airport, Amritsar",ChIJ60NTwglmGTkRbaEbtbiqhCI,"Sri Guru Ram Dass Jee International Airport, Amritsar, Ajnala Rd, opp. Hotel Blue Radison, Raja Sansi, Punjab 143101, India",3.9,1102,https://www.aai.aero/en/airports/amritsar
3082,Nal Airport,Bikaner,India,BKB,VIBK,28.070600509643555,73.20719909667969,750,5.5,N,Asia/Calcutta,airport,OurAirports,Civil Airport Bikaner,ChIJO_dM9l3dPzkRkAInlCmyzLg,"Civil Airport Bikaner, At Nal Airport, Nal, Rajasthan 334001, India",4,176,not found
3083,Bakshi Ka Talab Air Force Station,Bakshi Ka Talab,India,\N,VIBL,26.988300323486328,80.89309692382812,385,5.5,N,Asia/Calcutta,airport,OurAirports,Airforce Station Road,ChIJXb1_yEdRmTkRyFZmn13Na7U,"Airforce Station Rd, Bargadi, Bakshi Ka Talab, Roodahi, Uttar Pradesh 226201, India",4,105,not found
3084,Lal Bahadur Shastri Airport,Varanasi,India,VNS,VIBN,25.4524002075,82.85929870609999,266,5.5,N,Asia/Calcutta,airport,OurAirports,Lal Bahadur Shastri International Airport,ChIJYTnTmK7VjzkRp_V--C6IpuA,"Lal Bahadur Shastri International Airport, Varanasi District, Babatpur, Uttar Pradesh 221006, India",4,1731,not found
