index,airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website
2026,6425,Szczecin-Dąbie Airport,Szczecin,Poland,\N,EPSD,53.3921012878418,14.63379955291748,3,E,Europe/Warsaw,airport,OurAirports,EPSD Aeroklub Szczeciński,ChIJh3kQzSkIqkcRY1TUZCWFjmw,"EPSD Aeroklub Szczeciński, Przestrzenna 10, 70-800 Szczecin, Poland",4.6,55,http://aeroklubszczecinski.pl/
2027,6426,Worcester Regional Airport,Worcester,United States,ORH,KORH,42.26729965209961,-71.87570190429688,1009,A,America/New_York,airport,OurAirports,Worcester Regional Airport,ChIJsxv_5VwB5IkRLFQZSiv38mY,"Worcester Regional Airport (ORH), 375 Airport Dr, Worcester, MA 01602, USA",4.4,69,http://www.massport.com/worcester-airport/
2028,6460,Gustaf III Airport,Gustavia,France,SBH,TFFJ,17.904399871826172,-62.84360122680664,49,E,\N,airport,OurAirports,Gustaf III Airport,ChIJDTDuq051DowRmOtrD6zTa4k,"Gustaf III Airport (SBH), St Barthélemy",4.7,77,not found
2029,6482,Concord-Padgett Regional Airport,Concord,United States,USA,KJQF,35.387798,-80.709099,705,A,America/New_York,airport,OurAirports,Concord-Padgett Regional Airport,ChIJJS7J47EEVIgR13y_OQ82wiw,"Concord-Padgett Regional Airport, 9000 Aviation Blvd NW, Concord, NC 28027, USA",4.2,104,http://www.concordairportnc.com/
2030,6492,Ain Arnat Airport,Setif,Algeria,QSF,DAAS,36.178100585900005,5.32449007034,3360,U,Africa/Algiers,airport,OurAirports,"Airport May 8, 1945",ChIJvYNomCM_8xIR33rJP0b8Oow,"Airport May 8, 1945 (QSF), Algeria",3.9,138,http://www.egsa-constantine.dz/index.php/aeroports/categorie-b/aeroport-de-setif
2031,6493,La Rochelle-Île de Ré Airport,La Rochelle,France,LRH,LFBH,46.17919921875,-1.1952799558639526,74,E,Europe/Paris,airport,OurAirports,Aéroport La Rochelle (LFBH),ChIJj9-PvJFUAUgRzEh_sousNKU,"Aéroport La Rochelle (LFBH), Rue du Jura, 17000 La Rochelle, France",3.4,88,http://www.larochelle.aeroport.fr/
2032,6499,Bielsko Biala Airport,Bielsko-Biala,Poland,\N,EPBA,49.80500030517578,19.00189971923828,1319,E,Europe/Warsaw,airport,OurAirports,Aleksandrowice Airport,ChIJ_W9Aa0igFkcR6vRZULewxy0,"Aleksandrowice Airport, 43-303 Bielsko-Biała, Poland",4.5,83,http://www.epba.pl/
2033,6505,Phoenix-Mesa-Gateway Airport,Mesa,United States,AZA,KIWA,33.30780029,-111.65499879999999,1382,N,America/Phoenix,airport,OurAirports,Phoenix-Mesa Gateway Airport,ChIJz1BeVICtK4cRLwkGeTY_yKQ,"Phoenix-Mesa Gateway Airport, 6033 S Sossaman Rd, Mesa, AZ 85212, USA",3.7,463,http://www.gatewayairport.com/
2034,6730,Sam Mbakwe International Airport,Imo,Nigeria,QOW,DNIM,5.427060127258301,7.2060298919677725,373,N,Africa/Lagos,airport,OurAirports,Nigeria,ChIJ6a0WcNzzQhART1x1fmrX3b4,Nigeria,3.3,658,not found
2035,6735,Coronel Altino Machado de Oliveira Airport,Governador Valadares,Brazil,GVR,SBGV,-18.89520072937,-41.982200622559,561,S,America/Sao_Paulo,airport,OurAirports,Governador Valadares Airport (GVR),ChIJe6Mli26nsQARO0zPdpgVBmk,"Governador Valadares Airport (GVR) - Av. Industrial, s/n - Distrito Industrial, Gov. Valadares - MG, Brazil",2.9,85,http://www.valadares.mg.gov.br/
