index,airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website,total_routes
1589,6021,Tuguegarao Airport,Tuguegarao,Philippines,TUG,RPUT,17.6433676823,121.73315048200001,70,N,Asia/Manila,airport,OurAirports,Tuguegarao Airport,ChIJN7hy0-6FhTMR3Q7oHStUZVI,"Tuguegarao Airport (TUG), Tuguegarao, 3500 Cagayan, Philippines",3.8,61,not found,3
1590,6026,Roxas Airport,Roxas City,Philippines,RXS,RPVR,11.597700119018555,122.7519989013672,10,N,Asia/Manila,airport,OurAirports,Roxas Airport,ChIJx6mVMY7ypTMRK9Whwk1WkBc,"Roxas Airport (RXS), Arnaldo Boulevard, Roxas City, 5800 Capiz, Philippines",4.0,60,not found,3
1591,6034,Orlando Bezerra de Menezes Airport,Juazeiro Do Norte,Brazil,JDO,SBJU,-7.21895980835,-39.270099639899996,1392,S,America/Fortaleza,airport,OurAirports,Juazeiro do Norte Airport,ChIJe6fZJi95oQcRRyw-YJ3RKDY,"Juazeiro do Norte Airport - Av. Virgílio Távora, 4000 - Aeroporto, Juazeiro do Norte - CE, 63020-735, Brazil",4.1,254,http://www4.infraero.gov.br/aeroportos/aeroporto-de-juazeiro-do-norte-orlando-bezerra-de-menezes/,5
1592,6037,Macaé Airport,Macaé,Brazil,MEA,SBME,-22.343000412,-41.7659988403,8,S,America/Sao_Paulo,airport,OurAirports,734,ChIJNzVn0P0vlgARamcdX_TBf7E,"R. Tancredo Neves, 734 - Parque Aeroporto, Macaé - RJ, 27953-212, Brazil",3.4,83,http://www.bioanalisemacae.com.br/site/contato/,4
1593,6039,Vitória da Conquista Airport,Vitória Da Conquista,Brazil,VDC,SBQV,-14.8627996445,-40.8630981445,3002,S,America/Fortaleza,airport,OurAirports,Vitória da Conquista Airport,ChIJ5YwJ9nE7RgcRFyXBt79CqYY,"Vitória da Conquista Airport - Av. Paraná, s/n - Bairro Brasil, Vitória da Conquista - BA, 45065-010, Brazil",3.2,139,http://www.socicam.com.br/,6
1594,6047,General Rivadeneira Airport,Esmeraldas,Ecuador,ESM,SETN,0.9785190224647522,-79.62660217285156,32,U,America/Guayaquil,airport,OurAirports,Aeropuerto Coronel Carlos Concha Torres,ChIJP66_WMK71I8RG-mAJiokY9E,"Aeropuerto Coronel Carlos Concha Torres, Esmeraldas, Ecuador",4.1,94,not found,3
1595,6055,El Yopal Airport,Yopal,Colombia,EYP,SKYP,5.31911,-72.384,1028,U,America/Bogota,airport,OurAirports,El Alcaraván Airport,ChIJjSTQGZkNa44REk6Vo5YJ6O4,"El Alcaraván Airport, Yopal, Casanare, Colombia",3.9,127,not found,2
1596,6066,Mayor General FAP Armando Revoredo Iglesias Airport,Cajamarca,Peru,CJA,SPJR,-7.1391801834106445,-78.4894027709961,8781,U,America/Lima,airport,OurAirports,Mayor General FAP Armando Revoredo Iglesias Airport,ChIJ-xdZ_7haspERdASNwS0iGzw,"Mayor General FAP Armando Revoredo Iglesias Airport, Av Hoyos Rubio 1804, Cajamarca 06001, Peru",3.9,356,http://www.corpac.gob.pe/Main.asp?T=4157,2
1597,6067,Alferez Fap David Figueroa Fernandini Airport,Huánuco,Peru,HUU,SPNC,-9.878809928894043,-76.20480346679688,6070,U,America/Lima,airport,OurAirports,Huanuco Airport,ChIJEy5ni3TEp5ER9Apelr3OxKI,"Huanuco Airport, Jirón Tarma 376, Huánuco 10003, Peru",3.8,294,not found,2
1598,6069,Santa Rosa Airport,Santa Rosa,Brazil,SRA,SSZR,-27.9067,-54.520401,984,S,America/Sao_Paulo,airport,OurAirports,Sonoma County Airport,ChIJ8Xv8tlSvhYARK05LbrNsg2A,"Sonoma County Airport, 2200 Airport Blvd, Santa Rosa, CA 95403, USA",4.2,76,http://www.sonomacountyairport.org/,1
